log_num,input size,layers,number epochs,step per epoch,accuracy,loss,validation accuracy,validation loss
264,400,[64 128 256 512],60,300,0.98086,0.04484,0.933593,0.238744
265,400,[64 128 256 512],70,300,0.9833,0.03903,0.932902,0.249705
266,400,[64 128 256 512],80,300,0.98552,0.03387,0.934806,0.259665
267,400,[64 128 256 512],90,300,0.98696,0.03048,0.934519,0.268871
268,400,[128 256 512 1024],10,300,0.93786,0.15608,0.90804,0.220995
269,400,[128 256 512 1024],20,300,0.95783,0.10326,0.92625,0.192981
270,400,[128 256 512 1024],30,300,0.968402,0.07683,0.93063,0.196788
271,400,[128 256 512 1024],40,300,0.975252,0.059108,0.934116,0.179406
272,400,[128 256 512 1024],50,300,0.979797,0.047774,0.934007,0.198788
273,400,[128 256 512 1024],60,300,0.983171,0.03958,0.936,0.221449
274,400,[128 256 512 1024],70,300,0.985836,0.033086,0.938906,0.216854
275,400,[128 256 512 1024],80,300,0.987882,0.028304,0.938015,0.227083
276,400,[128 256 512 1024],90,300,0.98897,0.02572,0.93881,0.254985
277,400,[128 256 512 1024],10,300,0.92384,0.19302,0.90174,0.24478,leaky

278,400,[128 256 512 1024],20,300,0.94321,0.14107,0.913903,0.20927,leaky

279,400,[128 256 512 1024],30,300,0.9546,0.11192,0.92263,0.1944,leaky

280,400,[128 256 512 1024],40,300,0.96172,0.0925,0.92894,0.18145,leaky

281,400,[128 256 512 1024],50,300,0.96643,0.07983,0.932274,0.18176,leaky

282,400,[128 256 512 1024],60,300,0.9694,0.07199,0.933,0.187652,leaky

283,400,[128 256 512 1024],70,300,0.971979,0.066261,0.934663,0.186194,leaky

284,400,[128 256 512 1024],80,300,0.97454,0.05957,0.934407,0.193867,leaky

285,400,[128 256 512 1024],90,300,0.976982,0.053936,0.935786,0.198943,leaky

286,400,[128 256 512 1024],100,300,0.978953,0.049162,0.934357,0.204833,leaky

287,400,[128 256 512 1024],10,400,0.94814,0.13402,0.91934,0.19548,relu,True

288,400,[128 256 512 1024],20,400,0.96495,0.08887,0.93335,0.175372,relu,True

289,400,[128 256 512 1024],30,400,0.97394,0.0644,0.941014,0.174954,relu,True

290,400,[128 256 512 1024],40,400,0.97779,0.05454,0.941842,0.18577,relu,True

291,400,[128 256 512 1024],50,400,0.981962,0.043952,0.942965,0.18036,relu,True

292,400,[128 256 512 1024],60,400,0.983532,0.039861,0.941424,0.182124,relu,True

293,400,[128 256 512 1024],70,400,0.986513,0.032926,0.943741,0.192828,relu,True

294,400,[128 256 512 1024],80,400,0.988626,0.027887,0.94626,0.203138,relu,True

295,400,[128 256 512 1024],90,400,0.988948,0.027418,0.94544,0.220909,relu,True

